"","CPU.usage..MHZ.","Memory.usage..KB.","Disk.write.throughput..KB.s.","Network.received.throughput..KB.s.","Network.transmitted.throughput..KB.s."
"3807",154,1145884,13,1,11
"3808",160,1075839,13,12,46
"3809",154,751619,13,1,11
"3810",153,885837,15,1,11
"3811",156,975176,13,32,26
"3812",166,1165597,14,12,46
"3813",153,1033896,13,1,11
"3814",158,1028443,14,12,46
"3815",152,1017119,12,1,11
"3816",154,1033896,14,1,11
"3817",154,939105,11,2,11
"3818",160,885837,15,12,46
"3819",153,952946,13,1,11
"3820",160,933233,14,12,46
"3821",153,830053,13,1,11
"3822",154,796498,15,1,11
"3823",154,771332,12,2,11
"3824",165,1199152,13,12,46
"3825",152,1006214,13,1,10
"3826",159,788110,13,12,46
"3827",161,855219,12,85,51
"3828",160,939105,14,12,45
"3829",152,880384,12,1,11
"3830",158,930716,15,12,46
"3831",153,981048,14,1,13
"3832",158,905550,14,12,46
"3833",152,869060,12,1,11
"3834",153,846830,14,1,11
"3835",153,952946,13,2,11
"3836",159,1176502,13,2,11
"3837",152,1092616,13,1,11
"3838",151,902614,13,2,11
"3839",151,899678,12,1,11
"3840",155,947493,15,18,34
"3841",155,1098488,14,3,12
"3842",170,1059481,17,27,62
"3843",199,1115265,16,42,47
"3844",183,1101424,15,23,63
"3845",155,916455,12,1,11
"3846",159,983564,15,12,49
"3847",162,961334,13,7,24
"3848",168,1238159,13,12,57
"3849",155,1000342,14,2,11
"3850",157,1020055,15,2,12
"3851",152,1008730,14,1,11
"3852",153,930716,14,1,11
"3853",166,997825,13,9,31
"3854",161,964270,15,24,17
"3855",158,989436,14,4,14
"3856",153,922327,13,2,11
"3857",153,989436,12,1,11
"3858",161,930716,15,12,45
"3859",167,1073322,13,61,25
"3860",168,1333369,14,12,46
"3861",155,1022991,14,1,17
"3862",154,810340,12,2,21
"3863",154,779721,13,2,29
"3864",182,991953,16,25,64
"3865",181,950010,14,13,41
"3866",164,1014602,15,7,19
"3867",156,1014602,14,2,13
"3868",164,972659,14,16,68
"3869",156,972659,14,3,12
"3870",179,1171050,17,61,97
"3871",188,1103941,14,37,42
"3872",162,1277166,14,6,12
"3873",152,1064934,13,2,11
"3874",168,922327,14,18,53
"3875",167,942041,14,203,82
"3876",296,1056545,18,1478,240
"3877",167,1126171,15,74,46
"3878",161,902614,18,14,47
"3879",155,855219,12,2,17
"3880",172,964270,15,28,24
"3881",154,911003,12,1,11
"3882",161,964270,15,12,46
"3883",158,972659,12,5,15
"3884",186,1157208,14,19,52
"3885",154,1157208,14,2,11
"3886",163,913939,13,13,47
"3887",157,947493,14,4,20
"3888",176,1090100,17,47,41
"3889",186,1081711,13,42,57
"3890",194,1048157,16,186,64
"3891",161,930716,14,51,26
"3892",152,905550,13,2,11
"3893",153,902614,12,2,15
"3894",164,933233,16,13,50
"3895",184,958398,14,14,30
"3896",205,1129107,16,43,40
"3897",171,1140431,14,61,72
"3898",184,1067450,15,20,59
"3899",175,947493,14,28,43
"3900",178,1006214,16,36,32
"3901",169,986500,13,10,27
"3902",196,997825,15,32,74
"3903",186,1081711,14,25,37
"3904",193,1000342,16,22,39
"3905",171,981048,15,11,23
"3906",153,986500,15,2,11
"3907",153,966787,13,2,11
"3908",163,1190763,13,2,11
"3909",152,1112329,12,2,11
"3910",188,966787,15,22,46
"3911",204,1020055,14,111,29
"3912",153,1059062,15,3,12
"3913",221,1006214,14,234,39
"3914",151,1173986,14,12,47
"3915",181,1022991,14,127,24
"3916",154,947493,15,2,15
"3917",201,897162,15,145,32
"3918",167,1103941,16,46,18
"3919",153,989436,12,2,11
"3920",169,1115265,13,12,46
"3921",154,955882,13,2,29
"3922",240,1045221,15,237,32
"3923",217,1324981,14,41,33
"3924",189,1182374,17,27,81
"3925",229,1095552,14,219,38
"3926",173,1087164,15,11,25
"3927",168,1025507,15,21,33
"3928",157,1033896,15,3,28
"3929",189,936169,15,80,49
"3930",198,1017538,17,51,72
"3931",254,1048157,14,37,85
"3932",170,1148820,16,8,33
"3933",181,1053609,15,12,32
"3934",207,1112329,14,411,67
"3935",308,1215929,14,2195,158
"3936",208,1176502,15,444,78
"3937",186,1059062,15,222,216
"3938",196,1020055,16,39,69
"3939",176,975176,15,12,27
"3940",164,902614,14,13,50
"3941",158,924844,13,9,15
"3942",163,983564,15,54,43
"3943",166,997825,15,12,24
"3944",200,1221381,14,102,34
"3945",186,1087164,13,10,25
"3946",158,902614,14,2,11
"3947",177,1048157,13,104,16
"3948",186,1215929,15,16,33
"3949",172,1157208,15,94,24
"3950",260,1006214,17,53,105
"3951",156,1132043,15,2,12
"3952",155,1031379,14,2,11
"3953",201,897162,14,61,43
"3954",211,997825,15,216,114
"3955",293,1274649,13,742,125
"3956",178,1333369,14,113,27
"3957",206,1187827,15,211,55
"3958",171,994889,15,42,35
"3959",172,967206,15,41,25
"3960",165,908067,16,28,17
"3961",162,919391,15,7,23
"3962",208,1020055,17,67,109
"3963",155,994889,14,2,11
"3964",178,1050673,15,150,63
"3965",233,1145884,13,1245,94
"3966",167,1028443,15,12,46
"3967",157,941621,12,2,11
"3968",175,1120718,14,42,48
"3969",157,966787,13,2,13
"3970",153,799015,14,2,11
"3971",152,888773,13,2,11
"3972",154,1008730,15,2,11
"3973",151,840958,12,2,11
"3974",160,1003278,15,12,46
"3975",174,947493,13,11,28
"3976",156,1031379,13,12,46
"3977",153,964270,13,2,11
"3978",170,871996,16,28,59
"3979",180,981048,15,14,30
"3980",159,1140431,14,2,11
"3981",152,1148820,13,2,11
"3982",153,989436,15,2,15
"3983",155,1006214,13,2,22
"3984",153,1073322,16,2,11
"3985",155,964270,13,2,12
"3986",158,1182374,17,5,15
"3987",176,1090100,15,22,27
"3988",173,961334,15,21,29
"3989",179,958398,14,17,30
"3990",169,986500,16,11,28
"3991",183,1045221,14,25,34
"3992",197,1302331,17,24,64
"3993",165,1073322,13,90,40
"3994",177,1006214,15,115,50
"3995",163,964270,14,121,83
"3996",156,1059062,16,29,25
"3997",153,1081711,12,2,11
"3998",158,1000342,16,12,46
"3999",152,894226,14,1,11
"4000",159,941621,14,12,46
"4001",152,955882,13,2,14
"4002",159,1126171,16,12,46
"4003",152,1033896,12,2,11
"4004",161,1196216,14,2,11
"4005",152,1014602,13,2,11
"4006",160,964270,15,12,46
"4007",152,952946,13,2,11
"4008",161,969723,16,13,52
"4009",160,997825,12,5,16
"4010",155,997825,16,2,15
"4011",154,1014602,14,2,11
"4012",161,1064934,13,12,48
"4013",154,1031379,12,2,12
"4014",154,913939,14,2,11
"4015",152,922327,13,2,11
"4016",159,1182374,13,2,11
"4017",152,964270,14,2,11
"4018",160,939105,14,12,46
"4019",153,746167,13,2,11
"4020",153,857735,15,2,11
"4021",153,852283,13,2,11
"4022",159,944557,15,12,49
"4023",153,955882,14,2,11
"4024",159,1014602,15,12,46
"4025",151,897162,12,2,11
"4026",164,922327,15,12,63
"4027",153,852283,13,2,11
"4028",166,1212993,15,12,46
"4029",155,972659,14,2,11
"4030",154,927780,13,2,11
"4031",151,818728,13,2,13
"4032",153,908067,16,2,11
"4033",152,1025927,13,2,11
"4034",152,958818,15,12,46
"4035",158,913939,69,3,50
"4036",154,1067450,13,12,46
"4037",148,857735,12,2,11
"4038",153,855219,14,2,11
"4039",151,880384,12,2,12
"4040",164,1293943,15,12,46
"4041",152,1176502,13,2,11
"4042",148,989436,14,2,11
"4043",150,955882,14,2,13
"4044",156,1022991,14,13,49
"4045",151,1031379,12,2,11
"4046",155,1098488,14,159,19
"4047",150,930716,13,2,15
"4048",148,972659,14,2,11
"4049",146,897162,13,1,11
"4050",138,813276,15,2,13
"4051",135,964270,12,2,11
"4052",146,1159725,14,12,46
"4053",142,1095552,14,1,11
"4054",157,986500,14,12,46
"4055",150,882901,12,2,11
"4056",162,1011666,15,12,46
"4057",152,961334,13,2,11
"4058",152,950010,14,2,11
"4059",157,913939,12,2,11
"4060",159,1022991,13,12,46
"4061",151,922327,12,2,11
"4062",153,913939,15,2,11
"4063",151,941621,13,2,11
"4064",159,1212993,13,2,11
"4065",153,1022991,13,2,11
"4066",151,1022991,14,2,11
"4067",151,950010,12,2,11
"4068",149,989436,14,2,11
"4069",147,1008730,13,2,11
"4070",158,969723,16,12,49
"4071",153,843894,14,1,11
"4072",160,1028443,14,12,46
"4073",152,986500,13,2,11
"4074",153,922327,14,2,11
"4075",153,955882,12,2,11
"4076",167,1241095,14,12,46
"4077",153,1048157,13,2,11
"4078",150,1022991,14,2,15
"4079",153,863607,12,2,11
"4080",153,771332,15,2,11
"4081",153,871996,13,2,11
"4082",156,989436,45,2,11
"4083",148,1006214,13,2,11
"4084",162,821664,13,12,46
"4085",153,950429,13,2,11
"4086",153,874512,14,2,11
"4087",153,857735,11,2,11
"4088",167,1087164,14,12,46
"4089",153,1059062,14,2,11
"4090",153,930716,14,2,11
"4091",153,944557,12,2,11
"4092",161,939105,15,12,46
"4093",155,911003,12,2,11
"4094",155,919391,19,2,11
"4095",154,1022991,14,2,11
"4096",160,939105,13,12,46
"4097",153,983564,13,2,11
"4098",153,1006214,15,2,11
"4099",152,1003278,12,2,11
"4100",169,1221381,14,12,46
"4101",154,1171050,13,1,11
"4102",160,947493,14,12,46
"4103",153,941621,12,2,13
"4104",161,952946,13,12,46
"4105",157,939105,11,2,11
"4106",161,877448,15,12,57
"4107",155,1022991,13,2,22
"4108",158,952946,12,12,48
"4109",153,913939,14,2,15
"4110",154,952946,15,2,11
"4111",152,936169,11,2,11
"4112",169,1090100,15,12,45
"4113",156,1115265,14,2,11
"4114",159,1059062,13,12,46
"4115",153,860671,14,2,26
"4116",163,983564,15,12,46
"4117",152,869060,12,2,11
"4118",160,1014602,14,12,46
"4119",155,1061998,13,2,15
"4120",158,874512,12,12,49
"4121",155,874512,13,2,18
"4122",154,793562,16,2,11
"4123",176,1008730,12,67,29
"4124",164,1165597,15,2,11
"4125",154,1165597,15,2,11
"4126",172,897162,13,12,46
"4127",152,905550,13,2,11
"4128",153,972659,14,2,14
"4129",156,981048,11,28,19
"4130",162,1006214,17,45,52
"4131",153,955882,13,2,11
"4132",159,1006214,13,6,17
"4133",155,947493,14,3,12
"4134",162,1006214,15,26,59
"4135",160,880384,12,32,41
"4136",163,1073322,15,2,15
"4137",158,1031379,14,11,19
"4138",156,1106877,13,12,46
"4139",169,1008730,14,10,29
"4140",165,1031379,16,8,19
"4141",175,969723,13,34,30
"4142",198,1126171,16,33,83
"4143",165,1134559,13,8,19
"4144",167,1182374,14,71,105
"4145",153,899678,13,2,11
"4146",160,981048,17,12,46
"4147",152,944557,11,2,11
"4148",220,1165597,17,104,59
"4149",177,1243611,14,19,43
"4150",173,1028443,15,11,28
"4151",172,1092616,14,6,16
"4152",174,939105,16,21,57
"4153",186,1134559,13,23,34
"4154",152,944557,15,2,11
"4155",151,902614,13,2,14
"4156",160,983564,13,12,46
"4157",213,950010,15,25,50
"4158",187,1067870,15,51,32
"4159",154,997825,12,3,13
"4160",222,1126171,15,245,29
"4161",221,1132043,16,367,258
"4162",153,944557,13,2,15
"4163",161,969723,13,31,14
"4164",211,1148820,15,216,59
"4165",170,1070386,18,178,32
"4166",812,1652136,1975,666,64
"4167",360,1741475,16,639,57
"4168",233,1238159,493,500,14
"4169",180,1151336,13,1,11
"4170",180,997825,16,1,10
"4171",175,964270,11,2,11
"4172",336,1526307,15,35,47
"4173",175,1434032,14,1,10
"4174",168,1190763,13,2,11
"4175",158,1090100,12,1,11
"4176",163,1090100,14,1,11
"4177",1002,1363988,536,103,115
"4178",419,1534696,21,46,131
"4179",470,1132043,13,57,84
"4180",196,1039768,11,25,17
"4181",217,950010,10,13,63
"4182",179,981048,9,1,18
"4183",284,1112329,12,34,92
"4184",221,1014602,11,18,30
"4185",214,966787,8,104,22
"4186",214,1020055,18,48,34
"4187",198,1109393,10,12,46
"4188",163,981048,9,1,14
"4189",157,927780,10,2,11
"4190",158,941621,12,1,11
"4191",200,997825,8,66,28
"4192",174,989436,11,2,11
"4193",208,1050673,9,26,55
"4194",225,1092616,10,31,44
"4195",248,1196216,10,26,26
"4196",162,1109393,11,2,11
"4197",162,1132043,8,1,14
"4198",164,1076258,10,1,11
"4199",194,981048,10,12,50
"4200",205,1087164,10,67,32
"4201",161,1118201,9,2,11
"4202",171,939105,11,9,24
"4203",165,1006214,8,5,17
"4204",156,955882,10,2,19
"4205",180,857735,10,9,25
"4206",158,1073322,9,2,15
"4207",189,1148820,9,12,45
"4208",179,1266260,11,21,33
"4209",200,1039768,9,27,74
"4210",173,1098488,12,7,24
"4211",200,1132043,10,120,153
"4212",167,1000342,10,126,137
"4213",287,1090100,10,106,140
"4214",174,1092616,11,156,163
"4215",180,952946,8,19,57
"4216",211,981048,12,31,39
"4217",199,1157208,10,59,51
"4218",211,1120718,9,18,35
"4219",260,1291426,12,49,101
"4220",280,1034315,12,48,98
"4221",287,1081711,9,89,142
"4222",255,1154272,12,76,59
"4223",251,1081711,12,59,108
"4224",272,1093036,12,46,89
"4225",276,1050673,13,46,102
"4226",274,1014602,15,41,102
"4227",293,1092616,11,50,133
"4228",368,1154272,15,122,192
"4229",393,1229770,14,148,238
"4230",323,1134559,13,51,141
"4231",412,1341758,13,80,192
"4232",576,1266260,16,81,190
"4233",4709,1207540,9,31,44
"4234",4990,1070386,11,12,21
"4235",4982,1075839,10,111,77
"4236",4972,1224317,9,120,56
"4237",4993,1109393,9,9,19
"4238",4962,916455,11,2,21
"4239",4991,1042704,7,1,16
"4240",4978,1101005,11,16,20
"4241",5004,1075839,9,9,38
"4242",4973,1008730,9,9,26
"4243",4969,1372376,10,38,91
"4244",5005,1070386,10,2,26
"4245",4996,813276,8,12,50
"4246",5004,1003278,11,19,32
"4247",4998,1003278,9,2,11
"4248",4977,952946,8,1,10
"4249",5001,908067,9,2,11
"4250",4992,975176,12,33,25
"4251",4979,897162,8,60,62
"4252",4974,952946,10,107,19
"4253",4985,986500,9,12,45
"4254",5011,1053609,9,1,10
"4255",4987,1229770,9,12,46
"4256",4983,1056545,11,2,17
"4257",5005,1126171,9,122,63
"4258",4972,1084228,11,31,42
"4259",4992,1006214,10,40,69
"4260",4998,950010,9,31,47
"4261",5001,1115265,10,33,25
"4262",4979,1031379,11,2,12
"4263",4996,911003,7,12,49
"4264",4992,997825,10,1,11
"4265",4998,972659,9,2,11
"4266",4969,972659,8,1,10
"4267",4966,1291426,9,12,46
"4268",5001,1033896,10,1,11
"4269",4967,1039768,7,12,45
"4270",4991,1028443,11,1,11
"4271",4982,1056545,8,2,11
"4272",4992,1031379,8,1,10
"4273",5003,972659,9,2,11
"4274",5007,1182374,13,17,26
"4275",4987,981048,7,1,10
"4276",4996,1045221,9,1,11
"4277",5000,1017538,9,2,11
"4278",5004,958398,8,1,10
"4279",4980,1266260,9,12,46
"4280",4998,1112329,10,1,11
"4281",4996,916455,7,1,10
"4282",4978,810340,10,1,11
"4283",5007,981048,9,2,11
"4284",4968,1118201,9,65,49
"4285",5004,1260388,9,20,51
"4286",4984,1053609,11,1,11
"4287",4977,1045221,7,12,45
"4288",4994,1199152,10,1,11
"4289",4970,952946,9,2,11
"4290",4967,1087164,9,1,11
"4291",4975,1221381,9,12,46
"4292",4992,1218445,11,38,27
"4293",4984,986500,7,1,10
"4294",4963,924844,10,19,33
"4295",4978,1101005,9,12,46
"4296",4981,1235223,9,8,21
"4297",4989,1350146,9,11,26
"4298",4983,1190763,11,1,11
"4299",4994,1039768,7,12,45
"4300",4974,1056545,11,23,21
"4301",4995,1148820,11,35,57
"4302",4988,1249483,9,39,49
"4303",4950,1358535,8,2,11
"4304",4973,1081711,10,1,11
"4305",5003,981048,7,1,10
"4306",4997,1056545,10,2,15
"4307",4982,947493,9,2,25
"4308",4973,1031379,8,1,10
"4309",5001,1073322,9,12,46
"4310",4982,1059481,11,1,11
"4311",4977,975176,7,1,10
"4312",5003,1022991,10,1,11
"4313",4996,947493,9,2,11
"4314",4992,989436,8,1,10
"4315",4968,1324981,9,12,45
"4316",4977,1134559,10,1,11
"4317",4976,1028443,7,12,45
"4318",5005,1182374,10,1,11
"4319",4961,1073322,9,12,46
"4320",4993,1115265,10,1,10
"4321",4980,997825,9,2,11
"4322",4979,1148820,11,1,11
"4323",4997,997825,8,1,10
"4324",4984,1615646,70,44,2367
"4325",4955,1937349,9,12,45
"4326",4983,1176502,8,1,10
"4327",4978,1285554,9,2,11
"4328",4969,1033896,10,1,11
"4329",4956,972659,7,12,45
"4330",4960,1000342,11,2,27
"4331",4984,922327,9,12,46
"4332",4975,1090100,8,1,10
"4333",4975,930716,9,2,11
"4334",4965,1171050,11,159,19
"4335",4992,1087164,7,12,45
"4336",4974,1098488,10,1,11
"4337",4970,972659,10,12,53
"4338",4972,981048,8,1,10
"4339",5005,1212993,9,2,11
"4340",5018,1112329,10,2,22
"4341",5024,1039768,7,1,10
"4342",5020,1039768,10,2,11
"4343",5013,1031379,9,2,11
"4344",4997,961334,8,1,10
"4345",4972,922327,9,12,46
"4346",4982,1020055,11,1,11
"4347",4991,1067450,7,12,45
"4348",4995,986500,10,1,11
"4349",4989,897162,10,2,11
"4350",4992,1048157,9,1,12
"4351",4976,1299815,9,2,18
"4352",5004,1090100,10,1,11
"4353",4982,1048157,7,1,10
"4354",4997,1039768,10,1,11
"4355",5001,989436,9,2,11
"4356",5007,1190763,8,1,10
"4357",4986,1081711,9,2,11
"4358",5009,997825,10,1,11
"4359",4996,972659,7,1,18
"4360",4987,964270,10,1,18
"4361",4995,997825,9,12,53
"4362",4986,964270,8,1,12
"4363",4987,1268777,9,12,46
"4364",4997,1291426,10,1,18
"4365",4983,1098488,7,1,10
"4366",5014,1117782,10,2,11
"4367",4983,994889,9,12,45
"4368",4986,1048157,8,1,10
"4369",5010,983564,9,12,46
"4370",4978,1003278,76,2,11
"4371",4997,1087164,71,1,10
"4372",4988,1120718,51,1,11
"4373",4983,1201668,9,2,11
"4374",4991,1095552,8,1,10
"4375",4986,1274649,9,12,45
"4376",4989,1176502,10,2,13
"4377",4994,1098488,7,12,45
"4378",4976,1157208,10,1,11
"4379",4986,1148820,9,12,46
"4380",4974,1377829,8,1,10
"4381",4985,1257872,9,12,46
"4382",4975,1120718,17,1,11
"4383",4992,1187827,7,12,45
"4384",4998,1257872,10,1,11
"4385",4990,1109393,9,12,46
"4386",4998,1168114,8,1,10
"4387",5008,1459198,9,2,11
"4388",4992,1106877,10,1,11
"4389",4996,1039768,7,12,45
"4390",5008,1140431,11,2,11
"4391",5002,1115265,9,12,46
"4392",4962,1157208,8,1,10
"4393",4978,972659,9,2,11
"4394",4963,1140431,11,1,11
"4395",5000,1098488,7,1,10
"4396",4984,1048157,10,2,18
"4397",4992,1115265,9,2,11
"4398",4988,1106877,8,1,10
"4399",4986,1333369,9,2,11
"4400",4972,1115265,10,1,11
"4401",4985,1145884,7,1,10
"4402",4977,1017119,10,2,11
"4403",4975,1115265,9,12,46
"4404",4974,1061998,8,1,10
"4405",4976,1075839,8,2,11
"4406",5000,1084228,11,1,11
"4407",5003,1087164,7,1,10
"4408",4997,1162661,11,3,18
"4409",4980,1212993,10,3,17
"4410",4966,1366924,10,12,28
"4411",4949,1478492,9,2,11
"4412",4986,1129107,10,1,11
"4413",4994,1059062,8,12,52
"4414",5006,1291426,10,2,11
"4415",4989,1075839,9,2,11
"4416",5008,1129107,8,1,10
"4417",4998,1067450,9,2,18
"4418",4985,1090100,12,17,26
"4419",4970,1103941,8,38,32
"4420",4986,1115265,11,81,47
"4421",5003,1176502,10,28,49
"4422",4964,1014602,8,1,10
"4423",4981,1464651,9,12,46
"4424",4995,1176502,10,11,14
"4425",4988,1176502,8,52,43
"4426",5004,1246547,11,87,44
"4427",4991,1148820,12,18,54
"4428",5002,1090100,21,0,0
"4429",4854,1098488,27,3,94
"4430",853,1637876,517,16,77
"4431",1230,1123654,11,11,140
"4432",2495,871996,10,1,6
"4433",2518,888773,9,1,10
"4434",2480,888773,10,1,5
"4435",2543,1031379,9,5,11
"4436",2543,888773,11,12,40
"4437",2524,955882,8,0,6
"4438",2557,1003278,11,5,15
"4439",3228,1081711,11,6,13
"4440",4990,1025507,9,11,40
"4441",4990,1008730,10,4,14
"4442",4987,1176502,12,1,11
"4443",4971,1017119,8,1,5
"4444",4986,1061998,11,25,59
"4445",4991,961334,10,1,6
"4446",4991,1014602,10,1,26
"4447",5001,978112,10,4,14
"4448",4966,1075839,13,33,61
"4449",4999,1090100,10,39,41
"4450",4990,1098488,14,103,102
"4451",4986,1106877,12,48,73
"4452",5020,1033896,9,17,27
"4453",4993,1031379,10,5,12
"4454",4990,1358535,12,26,55
"4455",4990,1056545,8,0,5
"4456",5004,1048157,11,4,14
"4457",4996,863607,10,1,18
"4458",4966,897162,11,24,72
"4459",4990,1073322,10,1,7
"4460",4961,1022991,11,12,45
"4461",4995,1039768,8,0,5
"4462",4982,1048157,12,38,82
"4463",4977,1039768,10,11,14
"4464",5004,1073322,9,1,6
"4465",4975,1042285,9,1,10
"4466",4951,1327497,11,11,40
"4467",5000,1112329,8,1,9
"4468",4992,1006214,10,11,40
"4469",4978,1025507,10,1,6
"4470",4996,1003278,10,0,5
"4471",4970,1028443,9,1,6
"4472",4966,969723,11,11,41
"4473",4979,939105,8,0,5
"4474",4994,1020055,10,11,40
"4475",4979,997825,9,14,10
"4476",4988,1112329,10,22,56
"4477",4957,1140431,10,24,25
"4478",4974,1238159,11,1,8
"4479",4996,1159725,8,16,11
"4480",4996,1173986,11,187,32
"4481",4979,1067870,11,1,9
"4482",4982,1028443,9,1,5
"4483",4987,1008730,9,1,6
"4484",5007,1112329,11,11,40
"4485",4987,986500,8,7,13
"4486",4977,1095552,17,0,0
"4487",4991,846830,20,1,4
"4488",1549,1512047,535,14,46
"4489",178,1134559,10,1,5
"4490",166,894226,13,1,10
"4491",151,779721,8,1,6
"4492",220,718065,12,12,45
"4493",381,897162,13,12,37
"4494",177,939105,10,6,20
"4495",188,1039768,11,3,23
"4496",259,874512,14,21,96
"4497",142,1022991,8,1,5
"4498",2115,986500,12,25,63
"4499",4982,1073322,16,4,13
"4500",4997,1148820,11,1,8
"4501",4975,930716,10,1,5
"4502",4961,1132043,14,21,59
"4503",5003,1084228,8,0,5
"4504",4985,966787,12,2,14
"4505",4986,1028443,15,6,14
"4506",4054,961334,534,2,4
"4507",345,1361052,15,8,19
"4508",248,1014602,11,22,53
"4509",165,871996,21,1,5
"4510",725,975176,1497,15,51
"4511",214,1470104,11,1,10
"4512",162,908067,9,0,5
"4513",199,924844,9,12,40
"4514",159,933233,12,1,7
"4515",391,978112,11,240,261
"4516",184,908067,10,1,6
"4517",156,994889,10,1,6
"4518",156,972659,9,1,5
"4519",272,961334,10,97,23
"4520",151,952946,11,1,10
"4521",184,1028443,8,11,40
"4522",287,986500,12,141,35
"4523",186,1185310,10,12,44
"4524",140,894226,9,1,5
"4525",161,936169,10,11,40
"4526",137,821664,11,1,6
"4527",146,964270,8,11,40
"4528",181,947493,11,7,23
"4529",215,1173986,11,29,56
"4530",139,1081711,10,1,5
"4531",143,888773,9,1,6
"4532",152,981048,11,1,6
"4533",152,981048,8,1,5
"4534",147,947493,10,1,6
"4535",135,944557,9,1,6
"4536",137,983564,9,1,5
"4537",137,981048,9,1,6
"4538",143,888773,12,13,15
"4539",137,894226,8,1,5
"4540",138,869060,10,1,6
"4541",152,919391,10,11,40
"4542",145,1020055,10,1,11
"4543",207,1051093,11,28,65
"4544",177,1003278,11,13,18
"4545",143,936169,8,1,5
"4546",153,1039768,11,1,9
"4547",138,1179438,11,1,10
"4548",137,981048,9,1,8
"4549",149,930716,10,12,40
"4550",140,1017119,12,1,6
"4551",150,1078775,9,11,40
"4552",225,1098488,14,90,29
"4553",154,1157208,10,11,8
"4554",178,1078775,10,52,20
"4555",183,1103941,11,28,64
"4556",168,1050673,11,114,16
"4557",149,997825,8,11,40
"4558",150,1090100,10,1,6
"4559",136,1140431,10,1,6
"4560",133,922327,9,1,5
"4561",139,930716,9,1,6
"4562",143,1031379,13,1,6
"4563",137,871996,8,1,5
"4564",137,913939,10,1,6
"4565",135,922327,9,1,6
"4566",134,843894,9,1,5
"4567",139,897162,9,1,6
"4568",141,897162,11,1,6
"4569",136,1020055,8,1,5
"4570",148,1045221,11,1,10
"4571",166,1165597,10,12,43
"4572",133,950010,9,0,5
"4573",147,908067,9,12,40
"4574",136,902614,11,1,6
"4575",144,930716,8,1,6
"4576",137,1017119,10,1,6
"4577",145,860671,10,12,40
"4578",134,905550,9,1,5
"4579",145,1011666,9,11,40
"4580",135,1011666,11,1,6
"4581",139,866124,8,1,5
"4582",146,944557,10,1,6
"4583",135,1103941,10,1,6
"4584",134,1020055,9,1,5
"4585",136,941621,9,1,6
"4586",136,891290,12,1,6
"4587",153,922327,8,11,44
"4588",136,972659,10,1,6
"4589",136,972659,10,1,6
"4590",134,871996,10,1,5
"4591",144,913939,9,11,40
"4592",136,947493,11,1,6
"4593",132,1048157,8,1,5
"4594",144,989436,10,1,14
"4595",139,1129107,10,11,40
"4596",134,989436,9,1,5
"4597",149,964270,9,11,40
"4598",136,846830,11,1,6
"4599",133,897162,8,1,5
"4600",135,972659,10,1,5
"4601",143,897162,10,11,40
"4602",133,863607,9,1,5
"4603",137,813276,9,1,6
"4604",139,930716,10,1,6
"4605",134,838441,8,1,6
"4606",142,981048,10,1,5
"4607",136,1112329,10,1,6
"4608",135,888773,11,1,5
"4609",136,815792,9,1,6
"4610",129,827117,12,1,6
"4611",131,897162,10,11,40
"4612",131,913939,10,1,5
"4613",139,863607,10,12,40
"4614",131,877448,9,1,5
"4615",141,947493,9,11,40
"4616",133,1017538,10,1,6
"4617",133,952946,8,1,5
"4618",146,950010,10,1,5
"4619",134,1008730,10,1,6
"4620",131,866124,9,1,5
"4621",136,880384,9,1,6
"4622",145,1101005,12,158,13
"4623",133,1011666,7,1,5
"4624",137,852283,10,1,6
"4625",143,891290,10,12,40
"4626",190,1607257,69,35,1526
"4627",115,1377829,9,1,6
"4628",116,908067,10,1,6
"4629",119,897162,8,1,5
"4630",137,905550,11,1,5
"4631",134,1031379,10,12,40
"4632",128,905550,9,1,5
"4633",134,939105,9,1,6
"4634",135,930716,12,1,6
"4635",132,905550,8,1,5
"4636",134,947493,10,1,6
"4637",136,821664,9,1,6
"4638",133,922327,9,1,5
"4639",138,922327,9,1,6
"4640",134,880384,11,1,6
"4641",139,1033896,8,11,40
"4642",138,877448,10,1,5
"4643",133,1059062,9,1,6
"4644",124,927780,9,0,5
"4645",141,813276,9,11,40
"4646",133,919391,11,1,6
"4647",139,835505,8,11,40
"4648",134,944557,10,1,5
"4649",142,857735,10,11,41
"4650",131,902614,10,1,5
"4651",134,992372,9,1,5
"4652",130,1006214,10,1,6
"4653",141,894226,8,11,40
"4654",137,838441,10,1,5
"4655",134,905550,10,1,6
"4656",132,877448,9,1,5
"4657",134,899678,9,1,6
"4658",140,966787,42,1,6
"4659",133,927780,8,11,40
"4660",136,942041,10,1,5
"4661",136,964270,9,1,6
"4662",136,897162,9,0,5
"4663",135,939105,9,1,6
"4664",135,939105,10,1,6
"4665",134,905550,8,1,5
"4666",141,855219,10,1,5
"4667",134,1006214,9,1,6
"4668",131,871996,9,1,5
"4669",134,989436,9,1,6
"4670",136,871996,15,1,6
"4671",140,955882,8,11,40
"4672",134,894226,10,1,5
"4673",135,888773,10,1,6
"4674",132,969723,9,0,5
"4675",134,902614,9,1,5
"4676",135,860671,10,1,6
"4677",132,913939,7,1,5
"4678",143,1098488,10,1,13
"4679",146,1212993,9,12,40
"4680",130,874512,9,1,5
"4681",134,924844,8,1,6
"4682",137,1031379,11,1,6
"4683",133,916455,7,1,5
"4684",134,815792,10,1,5
"4685",136,899678,9,1,6
